sub_category,title,text,table_markdown,images
공통,"소모품, 부품 구매는 어떻게 하나요?","▶부품을 구매하려 하나요? • 필터, 호스, 소모품 등 구매가 가능하며 판매 품목은 제품마다 상이합니다. • [부품구매] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요. • 서비스센터 홈페이지에서 구매하시려는 경우 제품의 모델명 또는 카테고리 선택 후 부품 명칭을 검색하시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 고객상담센터에서 구매하시려는 경우 제품의 모델명 또는 부품 명칭을 말씀해주시면 더욱 빠르고 쉽게 구매하실 수 있습니다. • 일부 부품은 안전상의 이유로 판매가 불가할 수 있으며, 전문가의 점검 및 서비스가 필요할 수 있습니다.",,없음
공통,"품질보증기간, 부품보유기간이 궁금해요","▶제품의 사용설명서, 간단설명서 뒷 부분에서 제품 보증서에서 품질보증기간, 부품보증기간을 확인해 주세요. • 상업용 제품아닌 일반 제품을 상업용으로 사용하는 경우 품질보증기간이 단축됩니다. • 품질보증기간내라도 안전점검을 요청하는경우 전문가의 점검 비용이 발생됩니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/079ca8eb2a424a4e9372d6c16f56336b.png
히터,AS 신청은 어떻게 하나요,"제품별 AS 서비스 업체가 다를 수 있어요 아래 내용을 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶CRHD0714E/1024E/1326E/1641E/2061E, CRH1023/1325/1640/2060/1024/1326/1641/2061 모델의 서비스가 필요하신가요? •전문업체의 서비스가 필요합니다. 서비스 접수는 [대성하이원 ☎031-358-7034]을 이용해 주세요. ▶CRHT1024E/1427E/1745E/2063E 모델의 서비스가 필요하신가요? •전문업체의 서비스가 필요합니다. 서비스 접수는 [이파람 ☎1522-2029]을 이용해 주세요. ▶그 외 모델의 서비스가 필요하신가요? • [서비스센터 홈페이지-상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
믹서기,"버튼작동이 안돼요, 작동중 멈췄어요","▶전원 상태를 확인해 주세요. • 전원코드선이 빠져있다면 다시 연결하여 사용해 주세요. • 전원코드선이 연결되어 있으나 작동하지 않는 경우 다른 콘센트에 연결하여 확인해 주세요. ▶스텐용기와 본체, 뚜껑의 조립 상태를 확인해 주세요. • 스텐용기와 본체와 용기의 뚜껑이 정확하게 조립되었는지 확인해 주세요. • 뚜껑은 딱! 하는 소리가 날때까지 조립해 주세요. ▶모터 과열로 작동중 멈춘 경우 확인해 주세요. • 연속 사용시 모터가 과열될 수 있으므로 1분 단위로 작동, 멈춤을 반복하여 사용해 주세요. • 작동중 멈춘 경우 전원코드선을 뽑은 뒤 2-3시간 후 재사용해 주세요. ▶버튼 누름 상태를 확인해 주세요. • 순간 버튼을 누르고 있는 상태에서만 작동됩니다. • 저속, 고속, 정지 버튼을 눌러도 반응이 없다면 서비스 점검이 필요합니다. ☞모델에 따라 내용에 차이가 있을 수 있습니다. 확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
냉장고,"냉장이 안돼요, 냉기가 없어요 (RFGB2491, RFGTB241)","▶온도 램프가 점등되어 있는지 확인해 주세요. • 도어를 열면 내부 램프가 켜지고, 상부 냉장실 우측에 온도 램프가 점등되어 있는지 확인해 주세요. • 도어를 열어도 내부 램프 또는 온도 램프가 소등되어 있는 경우 * (눈꽃) 버튼을 3초간 누르면 전원이 켜지며(ON), 10초간 누르면 전원이 꺼집니다.(OFF) • 전원이 켜지지 않는 경우 전원코드선 연결 상태 또는 콘센트 상태를 확인해 주세요. ▶온도를 재설정하여 사용해 주세요. • 기존에 설정해 둔 온도보다 낮은 온도로 변경한 뒤 확인해 주세요. • 2도 아래 * (눈꽃) 버튼을 3초간 누르면 전원이 켜지며(ON), 10초간 누르면 전원이 꺼집니다.(OFF) • 온도 변경시 * (눈꽃) 버튼을 3초간 누르면 온도램프가 점멸되며 잠금이 해제됩니다. 잠금해제 후 온도설정이 가능합니다. • 2℃, 4℃, 6℃, 8℃ 4단계로 설정이 가능하며 * (눈꽃) 버튼을 1회씩 누를때 마다 온도가 변경됩니다. ▶냉장고 하단에 통풍구에 막힘이 없는지 확인해 주세요. • 냉장고가 작동하며 발생하는 열기를 순환해 주는 부분으로 막힘이 없어야 합니다. ☞상담 진행은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/9c7b9c3140044d489c024a3daabd8e00.png|https://static.service.skmagic.com/editor/faq/ckimg/e135000f094c4af3b98ec71e7830e0b0.png|https://static.service.skmagic.com/editor/faq/ckimg/52de31ccf7b3431193b5efcc06165598.png
커피머신,AS 및 케어 서비스 신청은 어떻게 하나요?,▶필립스 커피머신의 AS가 필요하신가요? • 전문업체의 서비스가 진행됩니다. 서비스 접수는 [POK ☎1661-0083]을 이용해 주세요. ▶필립스 커피머신의 안심OK서비스가 필요하신가요? • SK매직의 전문 MC가 4개월 주기로 방문합니다. • 케어 서비스 관련 문의 및 일정 변경 등은 [상담예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.,,없음
전기온수기,"물이 새요 (CBRH020, CBRH030)",제품에서 누수가 발생하는 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶본체에서 누수가 발생하나요? •안전밸브가 설치되어있지 않은 경우 강한 압력으로 인하여 누수나 파손이 발생할 수 있습니다. 반드시 안전밸브를 설치하여 사용해 주세요. ▶안전밸브에서 누수가 발생하나요? •제품의 최고사용압력은 0.7Mpa로 최고사용압력 이상 초과시 안전밸브 연결호스에서 물이 새어나올 수 있으며 제품의 고장이 아닙니다. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.,,없음
세탁기,[E10] 표시가 떠요,"▶표시창에 E10 표시가 떠있나요? • 급수가 정상적으로 되지 않아 발생하는 표시입니다. • 설치된 수전이 단수가 되었다면 제품의 전원을 꺼둔 상태로, 수돗물이 정상적으로 공급될때까지 기다려 주세요. • 급수밸브 거름망을 청소해 주시고, 급수호스가 눌리거나 꺾여있지는 않은지 확인해 주세요. • 겨울철 영하의 날씨로 급수호스가 결빙되었다면 호스 선을 따뜻한 물수건으로 감싸서 녹여주세요. • 수도밸브가 잠겨있다면 밸브를 열어주세요. ※위 내용에 해당되지 않으나 E10 표시가 발생할 경우 전원코드를 분리한 뒤 30초 후 다시 연결하여 확인해 주세요. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,없음
전기온수기,전원이 안들어와요/작동 중 전원이 꺼져요/차단기가 내려가요,"제품의 전원이 전혀 들어오지 않거나 사용중 갑자기 전원이 꺼진 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶제품의 전원코드선이 연결된 콘센트를 확인해주세요. •제품의 전원코드선이 콘센트에 정상적으로 잘 연결되어 있는지 확인해 주세요. •제품의 전원코드선이 콘센트에 연결되어 있다면 해당 콘센트에 드라이기 등 소형 전기제품를 연결하여 콘센트의 전원공급 상태가 정상인지 확인해 주세요. •콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요. ▶설치된 장소에 누전차단기를 확인해주세요. •제품이 설치된 장소에 누전차단기(두꺼비집)가 내려가 있는건 아닌지 확인해 주세요. 누전차단기가 내려가 있다면 다시 원상복구하여 사용해 주세요. <누전차단기 예시 이미지> ▶멀티콘센트로 연결하여 사용하는 경우 멀티콘센트를 확인해주세요. •멀티콘센트의 노후화로 작동이 안될 수 있으니 멀티콘센트를 교체한 후 확인해 주세요. •ON/OFF스위치가 없는 정격용량 250V, 16A 이상의 멀티콘센트를 사용해 주세요. •벽면콘센트와 멀티콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/fd4359036ae44ec48d81b67ad5a67c37.png
히터,전원이 안들어와요/작동 중 전원이 꺼져요/차단기가 내려가요,"제품의 전원이 전혀 들어오지 않거나 사용중 갑자기 전원이 꺼진 경우 확인해 주세요. ▣다음 내용을 확인해 주세요▣ ▶제품의 전원코드선이 연결된 콘센트를 확인해주세요. •제품의 전원코드선이 콘센트에 정상적으로 잘 연결되어 있는지 확인해 주세요. •제품의 전원코드선이 콘센트에 연결되어 있다면 해당 콘센트에 드라이기 등 소형 전기제품를 연결하여 콘센트의 전원공급 상태가 정상인지 확인해 주세요. •콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요. ▶설치된 장소에 누전차단기를 확인해주세요. •제품이 설치된 장소에 누전차단기(두꺼비집)가 내려가 있는건 아닌지 확인해 주세요. 누전차단기가 내려가 있다면 다시 원상복구하여 사용해 주세요. <누전차단기 예시 이미지> ▶멀티콘센트로 연결하여 사용하는 경우 멀티콘센트를 확인해주세요. •멀티콘센트의 노후화로 작동이 안될 수 있으니 멀티콘센트를 교체한 후 확인해 주세요. •ON/OFF스위치가 없는 정격용량 250V, 16A 이상의 멀티콘센트를 사용해 주세요. •벽면콘센트와 멀티콘센트에 여러 제품을 연결하여 사용시 전력 과부하로 인해 누전차단기가 내려가거나 작동 중 전원이 꺼질 수 있으므로 제품을 단독으로 연결하여 사용해 주세요. ▶제품의 전원스위치가 켜져있나요? •전자식제품의 경우 우측에 전원 스위치가 있으므로 스위치 설정 상태를 확인해 주세요. •기계식제품의 경우 단수를 0 으로 설정한 경우 전원이 차단되므로 설정 단수를 확인해 주세요. ☞확인 후에도 동일 증상이라면 전문가의 점검이 필요합니다. 서비스 접수는 [서비스센터 홈페이지-방문예약] 또는 [고객상담센터 ☎1600-1661]을 이용해 주세요.",,https://static.service.skmagic.com/editor/faq/ckimg/a841d5ce882c4b6dace0f87ad3e0f87a.png
